Category,Color,Pattern,Length,Fit,ImagePath
top,black,drawing,short,loose,20240331_222014.jpg
top,purple,plain,long,loose,20240331_222050.jpg
top,yellow,drawing,long,oversize,20240331_222147.jpg
top,green,plain,long,loose,20240331_222225.jpg
top,gray,plain,long,fit,20240331_222300.jpg
top,black,horizontal-lines,long,fit,20240331_222328.jpg
top,blue,plain,long,fit,20240331_222412.jpg
top,white,plain,long,loose,20240331_222452.jpg
top,gray,plain,long,loose,20240331_222521.jpg
top,black,drawing,medium,loose,20240331_222543.jpg
top,purple,drawing,short,fit,20240331_222622.jpg
top,blue,plain,medium,fit,20240331_222705.jpg
bottom,green,plain,short,fit,20240331_222803.jpg
top,purple,drawing,medium,fit,20240331_222853.jpg
bottom,brown,plain,long,fit,20240331_223015.jpg
overtop,green,plain,long,oversize,20240331_223041.jpg
top,blue,plaid,medium,fit,20240331_223106.jpg
top,orange,drawing,medium,fit,20240331_223128.jpg
bottom,purple,plain,short,fit,20240331_223211.jpg
bottom,brown,plain,short,fit,20240331_223242.jpg
top,white,drawing,medium,fit,20240331_223345.jpg
top,gray,plain,long,fit,20240331_223421.jpg
bottom,green,plain,long,fit,20240331_223610.jpg
top,black,plain,medium,fit,20240331_223656.jpg
bottom,blue,plain,long,fit,20240331_223842.jpg
bottom,gray,plain,long,fit,20240331_224031.jpg
bottom,white,plain,long,fit,20240331_224226.jpg
bottom,green,plain,short,fit,20240331_224328.jpg
top,black,drawing,long,fit,20240331_224416.jpg
bottom,gray,plain,short,fit,20240331_224537.jpg
overtop,black,plain,long,loose,20240331_232503.jpg
overtop,blue,plaid,long,oversize,20240331_232657.jpg
overtop,black,plain,long,fit,20240331_232712.jpg
overtop,brown,plain,long,oversize,20240331_233153.jpg
overtop,null,null,null,null,1711917857463.png
overtop,purple,plaid,short,loose,uploads/clothingImage-1712431663866.jpeg
top,green,plain,medium,oversize,uploads/clothingImage-1712431738784.jpg
top,purple,plaid,short,loose,uploads/clothingImage-1712431777840.png
bottom,purple,drawing,short,tight,uploads/clothingImage-1712432081508.jpeg
top,green,plaid,long,oversize,clothingImage-1712432280369.png
